id,text,source,language,category
1,"The Intergovernmental Panel on Climate Change released its Sixth Assessment Report in March 2023, warning that global temperatures could exceed 1.5 degrees Celsius above pre-industrial levels by 2030. The report emphasized that immediate action is needed to reduce greenhouse gas emissions.",IPCC Summary,en,policy
2,"Jordan's Ministry of Environment announced a $50 million investment in solar energy infrastructure across the Amman governorate. The project, funded partially by the World Bank, aims to reduce carbon emissions by 20 percent by 2030.",Jordan Times,en,policy
3,The United Nations Environment Programme estimates that climate change will cost developing countries between $140 billion and $300 billion per year by 2030. The MENA region is particularly vulnerable due to water scarcity and rising temperatures.,UNEP Report,en,impact
4,Researchers at the University of Jordan published findings showing that Dead Sea water levels have dropped by over 30 meters since 1960. The study attributes this decline to both climate change and water diversion from the Jordan River.,Nature Climate Change,en,science
5,"The COP28 summit in Dubai reached a historic agreement on transitioning away from fossil fuels. Representatives from 198 countries, including Jordan, signed the Global Stocktake agreement in December 2023.",COP28 Proceedings,en,policy
6,"Average temperatures in the Middle East and North Africa have risen by 1.5 degrees Celsius since pre-industrial times, roughly double the global average. Summer temperatures in parts of Iraq and Kuwait regularly exceed 50 degrees Celsius.",MENA Environmental Report,en,science
7,The Food and Agriculture Organization reported that wheat yields in Jordan declined by 15 percent between 2010 and 2022 due to changing precipitation patterns. Farmers in the Jordan Valley are increasingly adopting drought-resistant crop varieties.,Climate Policy Brief,en,impact
8,"Arctic sea ice extent reached its second-lowest level on record in September 2023, according to the National Snow and Ice Data Center. Scientists warn that ice-free Arctic summers could occur as early as 2040.",Nature Climate Change,en,science
9,"The World Bank approved a $200 million loan to support climate adaptation projects in the Hashemite Kingdom of Jordan. The funding will support water conservation, renewable energy, and sustainable agriculture initiatives.",World Bank Climate,en,adaptation
10,"Mediterranean ecosystems face unprecedented threats from rising sea temperatures, with coral bleaching events becoming more frequent along the coasts of Egypt, Lebanon, and Tunisia. Marine biodiversity loss accelerated in 2023.",MENA Environmental Report,en,impact
11,Jordan's National Climate Change Policy outlines targets for reducing greenhouse gas emissions by 31 percent by 2030 compared to business-as-usual scenarios. The policy was developed in coordination with UNDP and the German development agency GIZ.,Climate Policy Brief,en,policy
12,"A study published in Nature Climate Change found that the Sahara Desert has expanded by approximately 10 percent since 1920, driven by both natural climate variability and anthropogenic warming. The expansion affects rainfall patterns across the Sahel region.",Nature Climate Change,en,science
13,The Green Climate Fund allocated $120 million for water management projects across 15 countries in Africa and the Middle East. Jordan received $8.5 million for rainwater harvesting and wastewater recycling infrastructure.,UNEP Report,en,adaptation
14,"Pacific Island nations called for urgent action at the United Nations General Assembly, warning that rising sea levels threaten the existence of low-lying countries including Tuvalu, Kiribati, and the Marshall Islands.",Climate Policy Brief,en,impact
15,"Solar power generation in Jordan increased by 300 percent between 2018 and 2023, making it one of the fastest-growing renewable energy markets in the MENA region. The Baynouna Solar Park near Ma'an produces 200 megawatts.",Jordan Times,en,adaptation
16,"The European Union's Carbon Border Adjustment Mechanism, implemented in October 2023, imposes tariffs on carbon-intensive imports. MENA exporters of cement, steel, and fertilizers face significant cost increases.",Climate Policy Brief,en,policy
17,Glaciers in the Hindu Kush Himalaya region lost ice at a rate 65 percent faster between 2010 and 2019 compared to the previous decade. This threatens water supplies for approximately 2 billion people in South and Central Asia.,Nature Climate Change,en,science
18,The International Renewable Energy Agency projects that renewable energy could supply 90 percent of global electricity by 2050. Wind and solar costs have fallen by 85 percent and 89 percent respectively since 2010.,UNEP Report,en,adaptation
19,"Extreme weather events caused $313 billion in economic losses globally in 2023, with flooding in Libya, heatwaves across southern Europe, and drought in the Horn of Africa among the most devastating.",World Bank Climate,en,impact
